INFO 2024-12-28 13:37:03,420 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-28 13:37:03,421 autoreload Waiting for apps ready_event.
DEBUG 2024-12-28 13:37:03,434 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-28 13:37:03,480 autoreload Watching dir D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\bootstrap5\templates with glob **/*.
DEBUG 2024-12-28 13:37:03,480 autoreload Watching dir D:\FoxMinded\dev\task-12-create-basic-application\DjangoGramm\templates with glob **/*.
DEBUG 2024-12-28 13:37:03,480 autoreload Watching dir D:\FoxMinded\dev\task-12-create-basic-application\DjangoGramm\locale with glob **/*.mo.
DEBUG 2024-12-28 13:37:03,480 autoreload Watching dir D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\whitenoise\runserver_nostatic\locale with glob **/*.mo.
DEBUG 2024-12-28 13:37:03,481 autoreload Watching dir D:\FoxMinded\dev\task-12-create-basic-application\DjangoGramm\social\locale with glob **/*.mo.
DEBUG 2024-12-28 13:37:03,481 autoreload Watching dir D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\bootstrap5\locale with glob **/*.mo.
DEBUG 2024-12-28 13:37:03,698 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1732379724.427241
DEBUG 2024-12-28 13:37:03,699 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1732379724.2676122
DEBUG 2024-12-28 13:37:03,699 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\json\scanner.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,699 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\whitenoise\base.py first seen with mtime 1734701865.2769709
DEBUG 2024-12-28 13:37:03,699 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1730899116.6315966
DEBUG 2024-12-28 13:37:03,699 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\psycopg2\sql.py first seen with mtime 1734618048.6832788
DEBUG 2024-12-28 13:37:03,699 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1732379726.289292
DEBUG 2024-12-28 13:37:03,699 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\bootstrap5\text.py first seen with mtime 1732379733.2278612
DEBUG 2024-12-28 13:37:03,699 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1732379724.2656133
DEBUG 2024-12-28 13:37:03,701 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1732379726.165368
DEBUG 2024-12-28 13:37:03,701 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1732379726.1433702
DEBUG 2024-12-28 13:37:03,701 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\pathlib.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,701 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\asyncio\runners.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,701 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1732379726.3332925
